step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.3395,0.48966,3.67802,0.43506
2,3.45791,0.48066,,
3,3.3004,0.44526,,
4,3.43432,0.53571,,
5,3.4291,0.53571,,
6,2.66834,0.54962,,
7,3.31926,0.56944,,
8,1.19977,0.77733,,
9,2.83592,0.53957,,
10,2.4713,0.55882,,
11,1.98608,0.63235,2.16576,0.52601
12,2.16992,0.63953,,
13,2.53162,0.48246,,
14,2.68397,0.44898,,
15,2.04224,0.59048,,
16,2.15433,0.56061,,
17,2.38553,0.50265,,
18,2.17463,0.54676,,
19,2.47492,0.54545,,
20,1.62175,0.69159,,
21,1.47121,0.64348,1.33019,0.59559
22,2.12357,0.52941,,
23,2.64585,0.53774,,
24,2.2619,0.47794,,
25,2.19927,0.51818,,
26,1.96231,0.60606,,
27,2.42087,0.504,,
28,1.58749,0.62411,,
29,1.63817,0.6,,
30,1.45354,0.64516,,
31,2.45581,0.5,1.60202,0.51042
32,2.07888,0.59551,,
33,2.09249,0.53077,,
34,3.01125,0.44444,,
35,2.28486,0.5,,
36,1.56013,0.69032,,
37,2.13827,0.53797,,
38,1.56752,0.66412,,
39,1.60624,0.65263,,
40,2.22946,0.49091,,
41,1.64993,0.61644,2.56402,0.45588
42,1.93377,0.62821,,
43,2.45891,0.45578,,
44,2.21847,0.57471,,
45,1.09507,0.72549,,
46,1.70238,0.625,,
47,1.67418,0.62112,,
48,1.33331,0.63717,,
49,1.66416,0.625,,
50,1.88184,0.58025,,
51,1.75529,0.64238,1.29337,0.62
52,1.60189,0.68269,,
53,1.79383,0.51639,,
54,1.94102,0.504,,
55,1.73844,0.62105,,
56,0.80598,0.7619,,
57,2.01047,0.58491,,
58,1.61992,0.66304,,
59,1.941,0.5969,,
60,1.65789,0.59028,,
61,1.41339,0.70248,1.90237,0.50323
62,2.01899,0.57252,,
63,1.4398,0.63855,,
64,2.12843,0.53968,,
65,2.15224,0.54264,,
66,1.8051,0.58025,,
67,0.92842,0.78302,,
68,1.79346,0.61538,,
69,2.64419,0.51449,,
70,1.9304,0.54032,,
71,1.25116,0.725,2.27378,0.43689
72,1.52815,0.64567,,
73,1.96506,0.52448,,
74,2.01099,0.55208,,
75,1.77958,0.61111,,
76,1.87421,0.63793,,
77,1.82477,0.58,,
78,1.38163,0.675,,
79,1.3629,0.67391,,
80,1.48483,0.62376,,
81,1.66566,0.64602,1.74512,0.53465
82,0.91801,0.75333,,
83,1.86873,0.62963,,
84,1.73174,0.6087,,
85,1.78804,0.60227,,
86,1.17662,0.70093,,
87,2.17233,0.51695,,
88,2.17917,0.51832,,
89,1.33637,0.68571,,
90,1.27248,0.68,,
91,1.65648,0.59574,2.41504,0.48824
92,1.56992,0.61151,,
93,1.58502,0.63636,,
94,1.8212,0.63281,,
95,1.42101,0.608,,
96,1.90982,0.57432,,
97,1.69583,0.59231,,
98,1.63299,0.60465,,
99,1.69084,0.62366,,
100,0.72211,0.83267,,
101,1.4584,0.63946,2.08847,0.51095
102,1.20282,0.73786,,
103,1.45102,0.69333,,
104,1.93787,0.58042,,
105,2.26944,0.6129,,
106,1.45718,0.62651,,
107,1.96902,0.54331,,
108,1.37393,0.68276,,
109,1.76557,0.53846,,
110,1.1047,0.69136,,
111,1.61012,0.66667,1.42937,0.62025
112,1.48805,0.725,,
113,1.16264,0.71277,,
114,1.9791,0.58228,,
115,1.47971,0.60606,,
116,1.68016,0.55789,,
117,1.38978,0.69307,,
118,1.51679,0.67568,,
119,1.54407,0.65347,,
120,1.46832,0.61345,,
121,1.47002,0.62069,1.60692,0.59459
122,1.39107,0.70466,,
123,1.13718,0.72941,,
124,1.61371,0.7,,
125,2.0848,0.53846,,
126,1.05798,0.72222,,
127,1.57245,0.62069,,
128,1.40441,0.67692,,
129,1.76094,0.59641,,
130,1.2751,0.69725,,
131,0.86763,0.73554,1.71524,0.48936
132,1.26248,0.65854,,
133,1.51186,0.64463,,
134,1.08978,0.75949,,
135,0.93662,0.7875,,
136,2.50248,0.48092,,
137,1.1868,0.66667,,
138,0.95949,0.70909,,
139,1.51238,0.68939,,
140,1.56364,0.62366,,
141,1.739,0.57778,1.57613,0.52857
142,1.41802,0.64189,,
143,1.0815,0.76744,,
144,1.55493,0.58197,,
145,1.50753,0.67879,,
146,1.19452,0.67717,,
147,1.84448,0.55474,,
148,1.73629,0.66327,,
149,1.97063,0.5913,,
150,1.60648,0.59016,,
151,1.20289,0.68182,1.44568,0.6
152,1.59001,0.56944,,
153,1.48939,0.66372,,
154,0.50954,0.85532,,
155,1.53925,0.67347,,
